CVE_ID,EPSS_Score,EPSS_Percentile
CVE-2021-46072,0.02736,0.85071
CVE-2021-46071,0.02736,0.85071
CVE-2021-46070,0.00876,0.56472
CVE-2021-46069,0.02736,0.85072
CVE-2021-46068,0.02736,0.85072
CVE-2021-46067,0.0514,0.91808
CVE-2021-46044,0.00622,0.47385
CVE-2021-46043,0.00625,0.47517
CVE-2021-46042,0.00625,0.47517
CVE-2021-46041,0.00625,0.47519
CVE-2021-46040,0.00625,0.47519
CVE-2021-46039,0.00625,0.47517
CVE-2021-46038,0.00625,0.47519
CVE-2021-45971,0.00279,0.20004
CVE-2021-45970,0.00326,0.2506
CVE-2021-45969,0.00279,0.20003
CVE-2021-45833,0.00691,0.50303
CVE-2021-45832,0.00666,0.49299
CVE-2021-45831,0.00622,0.47385
CVE-2021-45830,0.00701,0.50669
CVE-2021-45745,0.01438,0.71278
CVE-2021-45744,0.01438,0.71278
CVE-2021-45458,0.0208,0.80173
CVE-2021-45457,0.02383,0.82716
CVE-2021-45456,0.88887,0.99766
CVE-2021-45452,0.02388,0.82754
CVE-2021-45116,0.01855,0.77656
CVE-2021-45115,0.02397,0.82829
CVE-2021-44878,0.00895,0.57015
CVE-2021-44591,0.01019,0.60917
CVE-2021-44590,0.0124,0.67035
CVE-2021-44584,0.00909,0.5746
CVE-2021-44564,0.00916,0.57692
CVE-2021-44351,0.01775,0.76612
CVE-2021-43947,0.04117,0.90056
CVE-2021-43946,0.01148,0.64554
CVE-2021-43816,0.01682,0.75313
CVE-2021-43779,0.09132,0.94939
CVE-2021-43045,0.0296,0.86227
CVE-2021-42841,0.00852,0.55688
CVE-2021-4194,0.00707,0.50926
CVE-2021-41842,0.01534,0.73016
CVE-2021-41388,0.00228,0.13339
CVE-2021-41043,0.0087,0.56266
CVE-2021-38918,0.0121,0.6628
CVE-2021-38674,0.00636,0.47998
CVE-2021-36774,0.01948,0.78769
CVE-2021-36739,0.02327,0.823
CVE-2021-36738,0.02327,0.823
CVE-2021-36737,0.02327,0.82301
CVE-2021-31589,0.28207,0.97974
CVE-2021-31522,0.02902,0.85975
CVE-2021-28715,0.00332,0.25772
CVE-2021-28714,0.00325,0.24939
CVE-2021-28713,0.00332,0.25722
CVE-2021-28712,0.00332,0.25721
CVE-2021-28711,0.00332,0.25722
CVE-2021-27738,0.02557,0.83947
CVE-2021-25743,0.00778,0.53337
CVE-2021-22567,0.00599,0.46255
CVE-2021-22045,0.04681,0.91125
CVE-2020-5956,0.00806,0.54252
CVE-2020-29050,0.02166,0.80963
CVE-2020-27428,0.00647,0.48501
CVE-2020-23986,0.00628,0.47656
CVE-2020-15933,0.00768,0.53007
CVE-2020-10137,0.00703,0.50769
CVE-2022-22267,0.00102,0.01024
CVE-2022-22266,0.00102,0.01023
CVE-2022-22265,0.00392,0.3221
CVE-2022-22264,0.00122,0.02263
CVE-2022-22263,0.00093,0.00647
CVE-2022-21823,0.00349,0.27686
CVE-2022-21667,0.01623,0.74384
CVE-2022-0133,0.01213,0.66366
CVE-2022-0132,0.00914,0.57602
CVE-2021-46166,0.02759,0.85217
CVE-2021-46165,0.00469,0.38773
CVE-2021-46164,0.07136,0.93803
CVE-2021-46163,0.008,0.54052
CVE-2021-46150,0.00647,0.48503
CVE-2021-46149,0.0121,0.66297
CVE-2021-46148,0.01178,0.65451
CVE-2021-46147,0.00528,0.42609
CVE-2021-46146,0.00571,0.44896
CVE-2021-46055,0.007,0.50661
CVE-2021-46054,0.00703,0.5077
CVE-2021-46053,0.00703,0.5077
CVE-2021-46052,0.00703,0.50769
CVE-2021-46051,0.00625,0.4752
CVE-2021-46050,0.00679,0.49826
CVE-2021-46049,0.00625,0.4752
CVE-2021-46048,0.007,0.5066
CVE-2021-46047,0.00632,0.47823
CVE-2021-46046,0.00625,0.47518
CVE-2021-46045,0.00625,0.47518
CVE-2021-45856,0.01931,0.78563
CVE-2021-45442,0.004,0.33053
CVE-2021-45441,0.00265,0.18094
CVE-2021-45440,0.00464,0.38385
CVE-2021-45334,0.02761,0.85228
CVE-2021-45231,0.00643,0.48311
CVE-2021-45003,0.0301,0.8645
CVE-2021-44528,0.04182,0.902
CVE-2021-44024,0.004,0.33053
CVE-2021-43579,0.07349,0.93949
CVE-2021-42749,0.0107,0.62488
CVE-2021-42748,0.00995,0.602
CVE-2021-42392,0.63211,0.99145
CVE-2021-40041,0.00168,0.06327
CVE-2021-40039,0.00602,0.46415
CVE-2021-40038,0.00602,0.46415
CVE-2021-40037,0.00167,0.06229
CVE-2021-40035,0.00791,0.5374
CVE-2021-40032,0.00895,0.57011
CVE-2021-40031,0.00596,0.4611
CVE-2021-40029,0.00791,0.5374
CVE-2021-40028,0.00562,0.4446
CVE-2021-40027,0.00843,0.55401
CVE-2021-40026,0.00627,0.47594
CVE-2021-40025,0.00672,0.49546
CVE-2021-40022,0.00686,0.50149
CVE-2021-40021,0.00672,0.49547
CVE-2021-40020,0.00672,0.49547
CVE-2021-40018,0.00672,0.49547
CVE-2021-40014,0.00957,0.58985
CVE-2021-40011,0.00779,0.53349
CVE-2021-40010,0.0122,0.66547
CVE-2021-40009,0.00651,0.48694
CVE-2021-40006,0.00144,0.04009
CVE-2021-40005,0.00672,0.49549
CVE-2021-40004,0.00637,0.48054
CVE-2021-40003,0.00648,0.48535
CVE-2021-40002,0.00384,0.31429
CVE-2021-40001,0.00761,0.52783
CVE-2021-40000,0.00384,0.31428
CVE-2021-39998,0.00697,0.5053
CVE-2021-39996,0.00843,0.55386
CVE-2021-39993,0.00756,0.52626
CVE-2021-38990,0.00286,0.20669
CVE-2021-38957,0.00969,0.59396
CVE-2021-38956,0.00913,0.57592
CVE-2021-38921,0.00665,0.49281
CVE-2021-38895,0.00445,0.37116
CVE-2021-38894,0.00935,0.58311
CVE-2021-35247,0.03453,0.88171
CVE-2021-34087,0.00814,0.54472
CVE-2021-34086,0.00529,0.42642
CVE-2021-32998,0.01183,0.65564
CVE-2021-32996,0.01057,0.62081
CVE-2021-30360,0.0057,0.44842
CVE-2021-23594,0.01762,0.76421
CVE-2021-23568,0.0145,0.71489
CVE-2021-23543,0.01762,0.76422
CVE-2021-23173,0.00524,0.42356
CVE-2021-22569,0.01669,0.75095
CVE-2021-22060,0.00855,0.55804
CVE-2021-20048,0.01939,0.78672
CVE-2021-20046,0.01939,0.78672
CVE-2020-9061,0.00733,0.51833
CVE-2020-9060,0.00532,0.4283
CVE-2020-9059,0.00846,0.55486
CVE-2020-9058,0.003,0.22175
CVE-2020-9057,0.00413,0.34293
CVE-2022-22847,0.01155,0.64772
CVE-2022-22846,0.00844,0.55427
CVE-2022-22845,0.03811,0.89285
CVE-2022-22844,0.01336,0.69216
CVE-2022-22836,0.05369,0.92079
CVE-2022-22827,0.02801,0.85465
CVE-2022-22826,0.02801,0.85465
CVE-2022-22825,0.02636,0.84473
CVE-2022-22824,0.03404,0.88007
CVE-2022-22823,0.03404,0.88007
CVE-2022-22822,0.04829,0.91355
CVE-2022-22821,0.003,0.2217
CVE-2022-22817,0.03427,0.88078
CVE-2022-22816,0.01957,0.78857
CVE-2022-22815,0.02556,0.83946
CVE-2022-22702,0.00713,0.51131
CVE-2022-22701,0.01017,0.60865
CVE-2022-22289,0.00778,0.53345
CVE-2022-22288,0.0092,0.57783
CVE-2022-22287,0.00243,0.15345
CVE-2022-22286,0.00276,0.19647
CVE-2022-22285,0.00276,0.19647
CVE-2022-22284,0.00224,0.12833
CVE-2022-22283,0.00204,0.10406
CVE-2022-22272,0.00102,0.01024
CVE-2022-22271,0.0011,0.01392
CVE-2022-22270,0.00202,0.10108
CVE-2022-22269,0.00102,0.01023
CVE-2022-22268,0.00112,0.01504
CVE-2022-22121,0.0121,0.6627
CVE-2022-22120,0.01367,0.69902
CVE-2022-22117,0.00633,0.47879
CVE-2022-22116,0.00633,0.47879
CVE-2022-22115,0.01034,0.61431
CVE-2022-22114,0.01296,0.68344
CVE-2022-21672,0.00715,0.51201
CVE-2022-21671,0.00972,0.5951
CVE-2022-21670,0.02192,0.8118
CVE-2022-21669,0.01032,0.61334
CVE-2022-21668,0.03897,0.89509
CVE-2022-21666,0.01193,0.658
CVE-2022-0174,0.00851,0.55657
CVE-2022-0173,0.01105,0.63476
CVE-2022-0170,0.00684,0.50033
CVE-2022-0158,0.01709,0.757
CVE-2022-0157,0.01081,0.62765
CVE-2022-0156,0.01719,0.75829
CVE-2022-0155,0.02426,0.83039
CVE-2022-0144,0.00427,0.35625
CVE-2022-0129,0.0028,0.20067
CVE-2021-45460,0.00828,0.54952
CVE-2021-45034,0.02307,0.82139
CVE-2021-45033,0.00906,0.5736
CVE-2021-44647,0.00418,0.34855
CVE-2021-44586,0.01308,0.68578
CVE-2021-44458,0.00431,0.35982
CVE-2021-43972,0.01465,0.71804
CVE-2021-43971,0.01744,0.76155
CVE-2021-43951,0.00809,0.54333
CVE-2021-43949,0.00809,0.54333
CVE-2021-43566,0.00376,0.30567
CVE-2021-43297,0.16969,0.96839
CVE-2021-43055,0.00676,0.49709
CVE-2021-43054,0.00746,0.52277
CVE-2021-43053,0.00817,0.54592
CVE-2021-43052,0.00854,0.55759
CVE-2021-41769,0.00968,0.5937
CVE-2021-38991,0.00271,0.1899
CVE-2021-37198,0.00361,0.28992
CVE-2021-37197,0.00816,0.54572
CVE-2021-37196,0.00782,0.53464
CVE-2021-37195,0.00509,0.41397
CVE-2021-36414,0.01144,0.64455
CVE-2021-36412,0.00851,0.55649
CVE-2021-36411,0.01155,0.64768
CVE-2021-36410,0.00859,0.55935
CVE-2021-36409,0.00897,0.57081
CVE-2021-36408,0.00835,0.55167
CVE-2021-35452,0.01321,0.68846
CVE-2021-34704,0.01307,0.6857
CVE-2021-29701,0.00704,0.50777
CVE-2021-29454,0.01927,0.78511
CVE-2021-25054,0.01318,0.68792
CVE-2021-25053,0.0067,0.49464
CVE-2021-25052,0.02985,0.86339
CVE-2021-25051,0.00773,0.53164
CVE-2021-25047,0.008,0.54047
CVE-2021-25043,0.00876,0.56481
CVE-2021-25032,0.06691,0.93422
CVE-2021-24949,0.01704,0.75617
CVE-2021-24948,0.01815,0.77132
CVE-2021-24862,0.73293,0.99419
CVE-2021-23218,0.00904,0.57277
CVE-2021-23154,0.00604,0.46507
CVE-2021-21408,0.0222,0.81428
CVE-2021-1573,0.01307,0.6857
CVE-2020-28679,0.02532,0.83785
CVE-2020-28103,0.01096,0.63246
CVE-2020-28102,0.01213,0.66371
CVE-2020-25427,0.00677,0.49778
CVE-2022-21964,0.00969,0.5941
CVE-2022-21963,0.00699,0.50615
CVE-2022-21962,0.0074,0.52061
CVE-2022-21961,0.0074,0.52062
CVE-2022-21960,0.0074,0.52062
CVE-2022-21959,0.0074,0.52062
CVE-2022-21958,0.0074,0.52063
CVE-2022-21954,0.01487,0.72202
CVE-2022-21932,0.01071,0.62507
CVE-2022-21931,0.01193,0.65807
CVE-2022-21930,0.01193,0.65808
CVE-2022-21929,0.01451,0.7151
CVE-2022-21928,0.00656,0.48904
CVE-2022-21925,0.02905,0.85986
CVE-2022-21924,0.02905,0.85986
CVE-2022-21922,0.02771,0.85285
CVE-2022-21921,0.009,0.57159
CVE-2022-21920,0.02771,0.85285
CVE-2022-21919,0.0295,0.86185
